tag,policy
Yolo,The County of Yolo performs plan review and inspection in the town of Yolo.
Springlake/Davis,Davis Fire Department performs full plan review and inspection services in the City of Davis and the portions of Springlake Fire District SOUTH of County Road 29.
Winters,Winters Fire Department services the City of Winters and surrounding areas. Winters performs full plan review and inspection in their service area.
Springlake/Woodland,Woodland Fire Department performs full plan review and inspection services in the City of Woodland and the portions of Springlake Fire District NORTH of County Road 29.
